தன்+pron+3sg+refl+nom+add	தனும்
உம்+pron+pssd+2sgh+soc+add	உம்மொடும்
உம்+pron+pssd+2sgh+soc+add	உம்மோடும்
உம்+pron+pssd+2sgh+dat+add	உமக்கும்
உம்+pron+pssd+2sgh+gen+add	உமதும்
உன்+pron+pssd+med+2sg+soc+add	உன்னுடனும்
உன்+pron+pssd+med+2sg+abl+add	உன்னினும்
உன்+pron+pssd+med+2sg+loc+add	உன்னிடமும்
உன்+pron+pssd+med+2sg+loc+add	உன்னிலும்
உன்+pron+pssd+med+2sg+loc+foc=ஏயே	உன்னிலேயே
உன்+pron+pssd+med+2sg+abl+add	உன்னிலும்
உன்+pron+pssd+med+2sg+abl+add	உன்னிலிருந்தும்
உன்+pron+pssd+med+2sg+inst+add	உன்னாலும்
உன்+pron+pssd+med+2sg+acc+add	உன்னையும்
உன்+pron+pssd+med+2sg+acc+sandhip	உன்னைப்
உன்+pron+pssd+med+2sg+acc+sandhic	உன்னைச்
உன்+pron+pssd+med+2sg+acc+sandhit	உன்னைத்
உன்+pron+pssd+med+2sg+acc+sandhik	உன்னைக்
உன்+pron+pssd+med+2sg+soc+add	உன்னோடும்
உன்+pron+pssd+med+2sg+gen+add	உனதும்
உன்+pron+pssd+med+2sg+dat+add	உனக்கும்
உங்கள்+pron+pssd+2plh+dat+add	உங்களுக்கும்
உங்கள்+pron+pssd+2plh+soc+add	உங்களுடனும்
உங்கள்+pron+pssd+2plh+gen+add	உங்களதும்
உங்கள்+pron+pssd+2plh+loc+add	உங்களிடமும்
உங்கள்+pron+pssd+2plh+loc+add	உங்களிலும்
உங்கள்+pron+pssd+2plh+loc+foc=ஏயே	உங்களிலேயே
உங்கள்+pron+pssd+2plh+abl+add	உங்களிலிருந்தும்
உங்கள்+pron+pssd+2plh+abl+add	உங்களினும்
உங்கள்+pron+pssd+2plh+soc+add	உங்களோடும்
உங்கள்+pron+pssd+2plh+inst+add	உங்களாலும்
உங்கள்+pron+pssd+2plh+acc+add	உங்களையும்
உங்கள்+pron+pssd+2plh+acc+sandhip	உங்களைப்
உங்கள்+pron+pssd+2plh+acc+sandhic	உங்களைச்
உங்கள்+pron+pssd+2plh+acc+sandhit	உங்களைத்
உங்கள்+pron+pssd+2plh+acc+sandhik	உங்களைக்
உவன்+pron+2sgm+dem+med+dat+add	உவனுக்கும்
உவன்+pron+2sgm+dem+med+gen+add	உவனதும்
உவன்+pron+2sgm+dem+med+loc+add	உவனிலும்
உவன்+pron+2sgm+dem+med+loc+foc=ஏயே	உவனிலேயே
உவன்+pron+2sgm+dem+med+abl+add	உவனிலிருந்தும்
உவன்+pron+2sgm+dem+med+abl+add	உவனினும்
உவன்+pron+2sgm+dem+med+loc+add	உவனிடமும்
உவன்+pron+2sgm+dem+med+inst+add	உவனாலும்
உவன்+pron+2sgm+dem+med+acc+add	உவனையும்
உவன்+pron+2sgm+dem+med+acc+sandhip	உவனைப்
உவன்+pron+2sgm+dem+med+acc+sandhic	உவனைச்
